,time,luminance,luminance_center,luminance_gaze,luminance_notcenter,luminance_notgaze
618,21959.043870570044,,,,,
619,21959.07720430641,,,,,
620,21959.110538042773,,,,,
621,21959.14387177914,,,,,
622,21959.177205515505,,,,,
623,21959.21053925187,,,,,
624,21959.243872988238,,,,,
625,21959.277206724604,,,,,
626,21959.31054046097,,,,,
627,21959.343874197337,,,,,
628,21959.377207933703,,,,,
629,21959.41054167007,,,,,
630,21959.443875406436,,,,,
631,21959.477209142802,,,,,
632,21959.510542879165,,,,,
633,21959.54387661553,,,,,
634,21959.577210351898,,,,,
635,21959.610544088264,,,,,
636,21959.64387782463,,,,,
637,21959.677211560997,,,,,
638,21959.710545297363,,,,,
639,21959.74387903373,,,,,
640,21959.777212770096,,,,,
641,21959.810546506462,,,,,
642,21959.843880242828,,,,,
643,21959.877213979194,,,,,
644,21959.910547715557,,,,,
645,21959.943881451924,,,,,
646,21959.97721518829,,,,,
647,21960.010548924656,,,,,
648,21960.043882661023,,,,,
649,21960.07721639739,,,,,
650,21960.110550133755,,,,,
651,21960.14388387012,,,,,
652,21960.177217606488,,,,,
653,21960.210551342854,,,,,
654,21960.24388507922,,,,,
655,21960.277218815587,,,,,
656,21960.31055255195,,,,,
657,21960.343886288316,,,,,
658,21960.377220024682,,,,,
659,21960.41055376105,,,,,
660,21960.443887497415,,,,,
661,21960.47722123378,,,,,
662,21960.510554970147,,,,,
663,21960.543888706514,,,,,
664,21960.57722244288,,,,,
665,21960.610556179246,,,,,
666,21960.643889915613,,,,,
667,21960.67722365198,,,,,
668,21960.710557388345,,,,,
669,21960.743891124708,,,,,
670,21960.777224861075,,,,,
671,21960.81055859744,,,,,
672,21960.843892333807,,,,,
673,21960.877226070173,,,,,
674,21960.91055980654,,,,,
675,21960.943893542906,,,,,
676,21960.977227279272,,,,,
677,21961.01056101564,,,,,
678,21961.043894752005,,,,,
679,21961.07722848837,,,,,
680,21961.110562224738,,,,,
681,21961.1438959611,,,,,
682,21961.177229697467,,,,,
683,21961.210563433833,,,,,
684,21961.2438971702,,,,,
685,21961.277230906566,,,,,
686,21961.310564642932,,,,,
687,21961.3438983793,,,,,
688,21961.377232115665,,,,,
689,21961.41056585203,,,,,
690,21961.443899588397,,,,,
691,21961.477233324764,,,,,
692,21961.51056706113,,,,,
693,21961.543900797493,,,,,
694,21961.57723453386,,,,,
695,21961.610568270225,,,,,
696,21961.64390200659,,,,,
697,21961.677235742958,,,,,
698,21961.710569479324,,,,,
699,21961.74390321569,,,,,
700,21961.777236952057,,,,,
701,21961.810570688423,,,,,
702,21961.84390442479,,,,,
703,21961.877238161156,,,,,
704,21961.910571897522,,,,,
705,21961.943905633885,,,,,
706,21961.97723937025,,,,,
707,21962.010573106618,,,,,
708,21962.043906842984,,,,,
709,21962.07724057935,,,,,
710,21962.110574315717,,,,,
711,21962.143908052083,,,,,
712,21962.17724178845,,,,,
713,21962.210575524816,,,,,
714,21962.243909261182,,,,,
715,21962.27724299755,,,,,
716,21962.310576733915,,,,,
717,21962.34391047028,,,,,
718,21962.377244206644,,,,,
719,21962.41057794301,,,,,
720,21962.443911679376,,,,,
721,21962.477245415743,,,,,
722,21962.51057915211,,,,,
723,21962.543912888475,,,,,
724,21962.57724662484,,,,,
725,21962.610580361208,,,,,
726,21962.643914097574,,,,,
727,21962.67724783394,,,,,
728,21962.710581570307,,,,,
729,21962.743915306673,,,,,
730,21962.777249043036,,,,,
731,21962.810582779402,,,,,
732,21962.84391651577,,,,,
733,21962.877250252135,,,,,
734,21962.9105839885,,,,,
735,21962.943917724868,,,,,
736,21962.977251461234,,,,,
737,21963.0105851976,,,,,
738,21963.043918933967,,,,,
739,21963.077252670333,,,,,
740,21963.1105864067,,,,,
741,21963.143920143066,,,,,
742,21963.17725387943,,,,,
743,21963.210587615795,,,,,
744,21963.24392135216,,,,,
745,21963.277255088527,,,,,
746,21963.310588824894,,,,,
747,21963.34392256126,,,,,
748,21963.377256297626,,,,,
749,21963.410590033993,,,,,
750,21963.44392377036,,,,,
751,21963.477257506725,,,,,
752,21963.51059124309,,,,,
753,21963.543924979458,,,,,
754,21963.577258715824,,,,,
755,21963.610592452187,,,,,
756,21963.643926188553,,,,,
757,21963.67725992492,,,,,
758,21963.710593661286,,,,,
759,21963.743927397652,,,,,
760,21963.77726113402,,,,,
761,21963.810594870385,,,,,
762,21963.84392860675,,,,,
763,21963.877262343118,,,,,
764,21963.910596079484,,,,,
765,21963.94392981585,,,,,
766,21963.977263552217,,,,,
767,21964.01059728858,,,,,
768,21964.043931024946,,,,,
769,21964.077264761312,,,,,
770,21964.11059849768,,,,,
771,21964.143932234045,,,,,
772,21964.17726597041,,,,,
773,21964.210599706777,,,,,
774,21964.243933443144,,,,,
775,21964.27726717951,,,,,
776,21964.310600915876,,,,,
777,21964.343934652243,,,,,
778,21964.37726838861,,,,,
779,21964.41060212497,,,,,
780,21964.443935861338,,,,,
781,21964.477269597704,,,,,
782,21964.51060333407,,,,,
783,21964.543937070437,,,,,
784,21964.577270806803,,,,,
785,21964.61060454317,,,,,
786,21964.643938279536,,,,,
787,21964.677272015902,,,,,
788,21964.71060575227,,,,,
789,21964.743939488635,,,,,
790,21964.777273225,,,,,
791,21964.810606961364,,,,,
792,21964.84394069773,,,,,
793,21964.877274434097,,,,,
794,21964.910608170463,,,,,
795,21964.94394190683,,,,,
796,21964.977275643196,,,,,
797,21965.010609379562,,,,,
798,21965.04394311593,,,,,
799,21965.077276852295,,,,,
800,21965.11061058866,,,,,
801,21965.143944325027,,,,,
802,21965.177278061394,,,,,
803,21965.21061179776,,,,,
804,21965.243945534123,,,,,
805,21965.27727927049,,,,,
806,21965.310613006855,,,,,
807,21965.34394674322,,,,,
808,21965.377280479588,,,,,
809,21965.410614215954,,,,,
810,21965.44394795232,,,,,
811,21965.477281688687,,,,,
812,21965.510615425053,,,,,
813,21965.54394916142,,,,,
814,21965.577282897786,,,,,
815,21965.610616634152,,,,,
816,21965.643950370515,,,,,
817,21965.67728410688,,,,,
818,21965.710617843248,,,,,
819,21965.743951579614,,,,,
820,21965.77728531598,,,,,
821,21965.810619052347,,,,,
822,21965.843952788713,,,,,
823,21965.87728652508,,,,,
824,21965.910620261446,,,,,
825,21965.943953997812,,,,,
826,21965.97728773418,,,,,
827,21966.010621470545,,,,,
828,21966.043955206907,,,,,
829,21966.077288943274,,,,,
830,21966.11062267964,,,,,
831,21966.143956416006,,,,,
832,21966.177290152373,,,,,
833,21966.21062388874,,,,,
834,21966.243957625105,,,,,
835,21966.27729136147,,,,,
836,21966.310625097838,,,,,
837,21966.343958834204,,,,,
838,21966.37729257057,,,,,
839,21966.410626306937,,,,,
840,21966.4439600433,,,,,
841,21966.477293779666,,,,,
842,21966.510627516032,,,,,
843,21966.5439612524,,,,,
844,21966.577294988765,,,,,
845,21966.61062872513,,,,,
846,21966.643962461498,,,,,
847,21966.677296197864,,,,,
848,21966.71062993423,,,,,
849,21966.743963670597,,,,,
850,21966.777297406963,,,,,
851,21966.81063114333,,,,,
852,21966.843964879696,,,,,
853,21966.87729861606,,,,,
854,21966.910632352425,,,,,
855,21966.94396608879,,,,,
856,21966.977299825157,,,,,
857,21967.010633561524,,,,,
858,21967.04396729789,,,,,
859,21967.077301034256,,,,,
860,21967.110634770623,,,,,
861,21967.14396850699,,,,,
862,21967.177302243355,,,,,
863,21967.21063597972,,,,,
864,21967.243969716088,,,,,
865,21967.27730345245,,,,,
866,21967.310637188817,,,,,
867,21967.343970925183,,,,,
868,21967.37730466155,,,,,
869,21967.410638397916,,,,,
870,21967.443972134282,,,,,
871,21967.47730587065,,,,,
872,21967.510639607015,,,,,
873,21967.54397334338,,,,,
874,21967.577307079748,,,,,
875,21967.610640816114,,,,,
876,21967.64397455248,,,,,
877,21967.677308288843,,,,,
878,21967.71064202521,,,,,
879,21967.743975761576,,,,,
880,21967.777309497942,,,,,
881,21967.81064323431,,,,,
882,21967.843976970675,,,,,
883,21967.87731070704,,,,,
884,21967.910644443407,,,,,
885,21967.943978179774,,,,,
886,21967.97731191614,,,,,
887,21968.010645652506,,,,,
888,21968.043979388873,,,,,
889,21968.077313125235,,,,,
890,21968.1106468616,,,,,
891,21968.143980597968,,,,,
892,21968.177314334334,,,,,
893,21968.2106480707,,,,,
894,21968.243981807067,,,,,
895,21968.277315543433,,,,,
896,21968.3106492798,,,,,
897,21968.343983016166,,,,,
898,21968.377316752532,,,,,
899,21968.4106504889,,,,,
900,21968.443984225265,,,,,
901,21968.47731796163,,,,,
902,21968.510651697994,,,,,
903,21968.54398543436,,,,,
904,21968.577319170727,,,,,
905,21968.610652907093,,,,,
906,21968.64398664346,,,,,
907,21968.677320379826,,,,,
908,21968.710654116192,,,,,
909,21968.74398785256,,,,,
910,21968.777321588925,,,,,
911,21968.81065532529,,,,,
912,21968.843989061657,,,,,
913,21968.877322798024,,,,,
914,21968.910656534386,,,,,
915,21968.943990270753,,,,,
916,21968.97732400712,,,,,
